"pIC50","MDEC.23","MLogP","nC","LipoaffinityIndex","VP.5","ATSp4","ATSp5","VP.4","C1SP2","ATSp2","ATSp1","VP.3","ATSp3","maxsOH","VP.2","VP.6","BCUTp.1h","AMR","apol","VP.1"
8.602,28.27793195,3.77,26,11.8309492,4.883285025,4128.339568,3792.77976,6.730082481,0,2930.668527,2469.977567,8.417904282,4109.492845,9.968948075,10.33615112,3.205821375,13.25485902,126.1188,74.170169,12.75563446
8.509,30.90106359,3.77,27,10.5771773,4.424384134,4479.177597,3993.734054,5.786564953,0,3054.050592,2576.569862,7.611579886,4285.592752,9.977508008,9.802668319,2.688157519,13.39345285,139.9304,74.064997,12.43945368
8.131,30.57000115,3.99,28,12.48969071,4.538549088,4265.064807,3806.120673,5.990239144,0,3007.231045,2561.845107,7.700096189,4144.672227,9.99334222,10.116341,2.747522835,13.04345358,143.1903,76.356583,12.77828983
6.31,28.27793195,3.66,26,10.89272177,4.296550182,4313.444963,3857.395308,5.675687953,2,2958.04954,2498.429887,7.424595723,4131.343017,9.964174675,9.491683025,2.560258717,13.32235899,134.7554,71.936204,12.15489439
9,37.80371943,4.32,30,12.61381419,4.599986307,5284.388823,4903.233377,6.143035345,0,3422.45131,2782.895513,7.831550513,5197.250873,10.12510047,9.993379605,2.900921911,13.80536738,142.3273,76.976583,12.42769495
7.456,26.10306475,3.55,25,10.02391286,4.072691101,3953.051812,3593.40573,5.497220229,1,2793.05,2354.943234,7.173704547,3914.329062,9.910737175,9.226555673,2.463477227,12.80635974,129.4149,69.211411,11.78964788
8.367,33.30823771,3.77,23,9.243204002,3.431806819,4299.877282,3930.366319,4.540748933,0,2713.129919,2163.075456,5.647279766,4249.60944,9.932093411,7.080810619,2.305354956,13.69296298,110.8989,54.086274,8.575528773
7.041,34.1117722,3.55,23,6.100093619,3.13042092,5080.921619,4779.833457,4.236208316,0,2914.479297,2290.727725,5.418813805,4657.763474,9.89404069,6.830272192,1.991599556,14.01152175,112.3889,53.023102,8.569563501
7.456,33.19754135,3.77,23,9.178489017,3.4223462,4321.46759,3995.507779,4.573206868,0,2722.962489,2169.449775,5.62612934,4265.036598,9.972051419,7.084264943,2.313773819,13.70765745,110.8989,54.086274,8.575528773
7.959,18.61914087,3.66,25,11.65388095,4.315701766,4081.892792,3638.037959,5.570967358,0,2824.190045,2394.836638,7.678453543,4004.702902,9.906412644,10.5771615,2.555462358,13.35160862,127.716,72.410169,11.89447968
